filename,FC1_b,FC2_b,Pz_b,POz_b,FC3_b,FCz_b,FC4_b,P1_b,P2_b,FC1_g,FC2_g,Pz_g,POz_g,FC3_g,FCz_g,FC4_g,P1_g,P2_g,group,subject,math,bodyposition
data/Epoched_Geometric/Expert14_SYMGEO_9G_sl1_Sit_05-40Hz.set,-11.0805828093749,-11.0343820288941,-9.69110220050636,-10.4565342952813,-10.7320456552902,-11.0385060098706,-10.1262079287313,-9.95765501624605,-10.0310622989302,-6.16346879877524,-6.27354735365139,-5.44045082027596,-5.8410838153443,-6.09794702921183,-6.2763243634162,-5.34267238440795,-5.71406058143868,-5.53615486438782,Expert,S14,geometry,Sit
data/Epoched_Geometric/Expert15_SYMGEO_11G_sl1_Sit_05-40Hz.set,-12.1201332109153,-11.3006977310697,-11.6438405041827,-10.6932336896226,-11.3209618555688,-11.6648323432276,-11.1626467010296,-11.454945577397,-10.5132183976781,-6.51363821247554,-5.8403220643187,-6.51298459494949,-5.72909495629226,-6.02550983594112,-5.97446156086874,-5.71947428368859,-6.24511762090692,-5.56526995556953,Expert,S15,geometry,Sit
data/Epoched_Geometric/Expert15_SYMGEO_1G_sl1_Stand_05-40Hz.set,-12.180121598408,-11.7143091853723,-11.7428744991191,-10.9588164197859,-11.6716291580697,-11.9336044205871,-11.1230917464557,-11.4295823607973,-10.8529582582602,-6.69291340686762,-6.13732114991221,-6.51586521681207,-5.83948639361459,-6.33193574953935,-6.34868461841592,-6.18776962548974,-6.23216303539025,-5.67695302349556,Expert,S15,geometry,Stand
data/Epoched_Geometric/Expert15_SYMGEO_2G_sl1_Stand_05-40Hz.set,-12.1074368462226,-11.4774484641044,-11.527884620831,-10.8217837787003,-11.6281262227899,-11.6390237940922,-11.0978669275621,-11.2671939887355,-10.5391147853563,-6.67593070853104,-6.08014477416148,-6.57289506196848,-5.96058231458148,-6.22779873404522,-6.28206390833949,-6.15033579928236,-6.38265268642648,-5.71018315201169,Expert,S15,geometry,Stand
data/Epoched_Geometric/Expert15_SYMGEO_3G_sl1_Sit_05-40Hz.set,-12.0296498285991,-11.6332477204951,-11.6800623564656,-10.8641989073834,-11.6411143839977,-11.97000119021,-11.2389629694246,-11.4706734103801,-10.9548694694767,-6.52724386278606,-5.98712168639005,-6.43792799836066,-5.95745879400376,-6.24722235016048,-6.2523888892797,-6.22324923237521,-6.25083341483827,-5.76074100635729,Expert,S15,geometry,Sit
data/Epoched_Geometric/Expert15_SYMGEO_4G_sl1_Sit_05-40Hz.set,-12.3923728082038,-11.489431474789,-12.0179785768357,-11.1712211419817,-11.4510988991051,-11.6487558016831,-10.9467523656152,-11.8639088421402,-11.0730890090615,-6.55601155683306,-5.6706969650198,-6.37152092509072,-5.81848748272757,-6.03112007361924,-5.80581590198754,-5.46248855698663,-6.20315842126514,-5.66308448964304,Expert,S15,geometry,Sit
data/Epoched_Geometric/Expert15_SYMGEO_5G_sl1_Stand_05-40Hz.set,-12.0439226052515,-11.6635975867758,-11.6881789573744,-10.9032442748784,-11.6545090336167,-11.9217724134253,-11.18258412748,-11.436311355824,-10.7653116136329,-6.5644215160142,-5.97570842803949,-6.35371255878406,-5.667681114449,-6.24089238149102,-6.16968546453375,-6.11304764682967,-6.12422805252845,-5.52236884114211,Expert,S15,geometry,Stand
data/Epoched_Geometric/Expert15_SYMGEO_7G_sl1_Stand_05-40Hz.set,-11.9181032053637,-11.5898299985872,-11.537213489056,-10.93885955049,-11.6815605579688,-11.8478730136575,-10.8760648678862,-11.2779506953584,-10.6790607848653,-6.55122346153071,-6.04444785757285,-6.48969172275426,-6.0568778794411,-6.17941248851561,-6.23929101200622,-5.65900334083764,-6.33116743166955,-5.77113538120684,Expert,S15,geometry,Stand
data/Epoched_Geometric/Expert15_SYMGEO_9G_sl1_Sit_05-40Hz.set,-12.0227456500184,-11.5588724691341,-11.5530215484243,-10.7596775271191,-11.5986857273523,-11.7889498435886,-11.0852502064443,-11.244811723174,-10.6517442917273,-6.56461815152878,-6.1239635326633,-6.44605684533081,-5.72559026383497,-6.22850738698796,-6.37237068568886,-6.02509737550509,-6.22757753018215,-5.55106958329279,Expert,S15,geometry,Sit
data/Epoched_Geometric/Expert17_SYMGEO_11G_sl1_Stand_05-40Hz.set,-10.7626687953566,-10.703968216323,-10.5376543435836,-9.99843585505262,-10.6201198197381,-10.7551822877123,-10.6454387511187,-10.6635131686184,-10.4825163511905,-6.078505349003,-6.11523627915567,-6.01219142291386,-5.37077375601081,-6.05726379513689,-6.11235718011954,-6.02863639248541,-6.05261447362676,-5.7040889762656,Expert,S17,geometry,Stand
data/Epoched_Geometric/Expert17_SYMGEO_1G_sl1_Sit_05-40Hz.set,-10.9207393777249,-10.8836777893402,-10.5420939606526,-10.107017314592,-10.6959110085772,-10.7334633042274,-10.4213294135116,-10.5336914230253,-10.0499095206891,-6.15055818212437,-6.05420286745633,-6.03369514606196,-5.43230269958401,-6.09673855360176,-5.78844129096069,-5.69916783717186,-5.92452549255438,-5.48147630774149,Expert,S17,geometry,Sit
data/Epoched_Geometric/Expert17_SYMGEO_2G_sl1_Sit_05-40Hz.set,-11.0341918403437,-10.9168727709609,-10.5014231974568,-10.1209429868734,-10.794378761916,-10.876321230109,-10.6296563523714,-10.6563358342511,-10.3439852037253,-6.03706060123234,-6.17265413107426,-6.00210062946129,-5.37712706304963,-6.09492968868186,-6.13644934027526,-5.38974453398783,-5.91214088002618,-5.45542004249854,Expert,S17,geometry,Sit
data/Epoched_Geometric/Expert17_SYMGEO_3G_sl1_Stand_05-40Hz.set,-10.7414474791747,-10.8301027941546,-10.4194596371092,-9.73247252116864,-10.5934085966582,-10.9551067173971,-10.5717871132615,-10.3865293364596,-10.0718578787599,-6.15668412868111,-6.11321601577498,-5.96256575056288,-5.2019396963169,-6.08860061733025,-6.11663496449508,-5.98065060030306,-5.97004392323354,-5.53618152961183,Expert,S17,geometry,Stand
data/Epoched_Geometric/Expert17_SYMGEO_4G_sl1_Stand_05-40Hz.set,-10.9719596369219,-10.9341495814596,-10.4179368059836,-9.95295134295946,-10.7884330708362,-10.9958571750581,-10.9098046230407,-10.5429756063694,-10.389813194563,-6.04319073781416,-6.12741925738126,-5.80211709433834,-5.1884593120554,-6.03453085807271,-6.13954484014058,-5.98127532181507,-5.8383646235011,-5.61551506694261,Expert,S17,geometry,Stand
