files,FC1_b,FC2_b,Pz_b,POz_b,FC3_b,FCz_b,FC4_b,P1_b,P2_b,FC1_g,FC2_g,Pz_g,POz_g,FC3_g,FCz_g,FC4_g,P1_g,P2_g,group,subject,math,bodyposition
data/slide2/short2/Expert17_1A_sl2_sit.set,-10.663599877699834,-10.230469344008643,-11.719663331312711,-10.901314809403827,-11.239171518414924,-9.85149195890441,-9.301966968541542,-10.240244084663455,-10.391426463869028,-6.072510368830768,-6.892899957076464,-6.339142408260764,-5.914319350002918,-6.273105856716975,-5.916558729553798,-6.30631927506254,-6.223859938141888,-5.771604913885343,Expert,S17,algebra,sit
data/slide2/short2/Expert1_11A_sl2_stand.set,-10.57557205287402,-10.358889959299699,-12.080096922230803,-10.92313534701445,-10.440736930621757,-10.363215296752891,-11.301970182909866,-10.981863388673315,-10.218201126277712,-6.7477256829910015,-6.338551937575345,-5.876558676460144,-5.6474934979351366,-6.252613297845711,-6.038208532277895,-5.747111277463656,-5.8742560025991075,-6.158210698269619,Expert,S1,algebra,stand
data/slide2/short2/Expert20_9A_sl2_stand.set,-12.384563552565089,-10.794148069387724,-13.31898799693165,-11.478878907180793,-11.183845910471856,-13.822599898864752,-11.442993511796441,-15.292092082425185,-10.21763158198432,-5.814524854706766,-6.351072949273524,-5.338557116196077,-4.881167765460907,-6.209448686091432,-5.054913458504046,-5.744387834629086,-5.293124102772968,-4.828914293357357,Expert,S20,algebra,stand
data/slide2/short2/Expert2_7A_sl2_stand.set,-6.016277675398358,-7.724235755261508,-5.251037620793996,-5.046199909850997,-5.029732565382617,-7.724600300174596,-6.375991948003129,-5.439653585158184,-7.725096976856095,-4.292639345056488,-5.425884215342946,-4.168273311384341,-4.216537501793761,-3.8073505126636613,-5.430407057572728,-4.3616621709443715,-4.239306703913291,-5.4289898497292635,Expert,S2,algebra,stand
data/slide2/short2/Expert4_5A_sl2_sit.set,-10.160595721448079,-10.305682258333531,-13.85254836434502,-13.180114940206348,-9.841199086141938,-11.673239800726064,-12.057414134384585,-14.426202897272152,-11.25791598096575,-6.498891775480713,-6.685094437510829,-7.0866388454769496,-6.691338123050985,-6.27507954901387,-6.983970251956949,-6.841167104034911,-6.571461175391709,-6.4405362972859805,Expert,S4,algebra,sit
data/slide2/short2/Expert5_4A_sl2_stand.set,-11.05971287309654,-11.752141822461342,-10.826363856104559,-10.771999223878357,-12.263047892843337,-12.73932969960407,-9.961500405936834,-10.723812905587444,-10.661955238272329,-6.016164039659662,-6.170077581522489,-6.346929323616908,-6.447084134931856,-5.98193924698949,-6.58481415688848,-6.145424793847951,-6.497454711688138,-6.73842446457603,Expert,S5,algebra,stand
data/slide2/short2/Expert7_3A_sl2_sit.set,-11.948457914376728,-10.765561445216095,-11.70429877242163,-10.749131414670915,-11.024873606225018,-11.03019719851075,-12.887695658554827,-11.488628648285475,-11.980227718917586,-6.552989028959568,-6.175774766435908,-7.268611530162287,-5.999696069075556,-5.9665709483777825,-6.187627858991169,-6.651525574635388,-7.081867922829251,-6.302093608232749,Expert,S7,algebra,sit
data/slide2/short2/Expert92_2A_sl2_sit.set,-11.486292086859846,-12.790193755379217,-12.026532946039293,-10.455069501687586,-12.151817006277804,-12.942588157034383,-10.246686838435336,-12.052446849528007,-9.972927267076916,-5.856332148311211,-6.315664015327412,-5.922730634085953,-5.9615148544995495,-5.848263817017568,-7.83709077573228,-5.84854500411102,-6.176074025212921,-5.248861224367914,Expert,S92,algebra,sit
data/slide2/short2/Novice14_1A_sl2_stand.set,-10.29406686261804,-11.261874517479702,-11.340606821004485,-12.151183846585353,-11.033424930858764,-14.829074054290578,-9.945000740044298,-13.001314059244814,-11.024162654206107,-5.620337496800645,-5.639964698022456,-6.479722835928108,-5.943712385825933,-5.7593767372390285,-6.967295316407105,-5.7405658095450045,-5.972196084623194,-6.187219647143332,Novice,S14,algebra,stand
data/slide2/short2/Novice162_11A_sl2_stand.set,-10.632734614462533,-10.794998835214717,-9.453982865262525,-9.172537408430681,-10.452294622083098,-10.957134058766542,-10.382140928205674,-9.726350673482159,-10.777252123772882,-5.694448053790401,-6.729843380759988,-6.517983615654311,-6.807576903648966,-6.137608016837702,-6.524705131070988,-6.301038610253048,-6.943299034381771,-5.737684242848434,Novice,S162,algebra,stand
data/slide2/short2/Novice172_9A_sl2_stand.set,-12.339825508946406,-13.217400415787278,-11.384619617094016,-11.448283896497362,-12.770408578000737,-13.377261297163264,-11.715803173344234,-11.570615632753574,-12.97824380750437,-6.013204761498028,-7.2816755942178,-7.5250688553094465,-7.3816769081117615,-6.182995011779741,-7.346114357514172,-5.569656721706898,-8.015288249801513,-6.4091892827323615,Novice,S172,algebra,stand
data/slide2/short2/Novice63_2A_sl2_stand.set,-10.642313185646055,-9.678306599724234,-11.205794157133944,-10.18179328738319,-10.848196767894846,-9.057860243067843,-10.446872863040795,-10.78330266878062,-10.412250869816749,-6.588173926211854,-6.440684038040827,-6.338563317062781,-6.0357352144259995,-6.385008837441416,-6.387242086919704,-6.36038235636113,-6.389726638288791,-5.250948081073792,Novice,S63,algebra,stand
data/slide2/short2/Novice63_3A_sl2_sit.set,-13.094350179896228,-11.040188738493896,-10.69828852672373,-10.235187021256168,-11.498795661701392,-9.808549557116317,-12.459692084786912,-10.179916749257284,-9.110721569180878,-6.607986711279206,-5.785573254772324,-6.436146144108354,-6.024524334155879,-6.071855542238643,-6.054322885471911,-6.698233879615115,-6.198113844350559,-5.895715106531593,Novice,S63,algebra,sit
data/slide2/short2/Novice63_4A_sl2_sit.set,-10.586686956367185,-11.280297768601617,-10.133061825062203,-9.47251400086634,-11.409338746972416,-11.209426417424782,-8.525140882920692,-9.838911795303316,-8.553360298165986,-6.431243294744105,-7.102191446051426,-6.632459564040327,-6.471397811475201,-6.249966063320196,-6.815430404253037,-5.576631383526137,-7.067811892685514,-5.640253591228784,Novice,S63,algebra,sit
data/slide2/short2/Novice63_5A_sl2_stand.set,-12.099084764009127,-10.4449947660249,-10.078432011734257,-9.71992633663861,-10.779665667621494,-10.74886158206786,-11.55526898527832,-9.830373134886331,-8.225873508422051,-6.336615999578012,-6.452258662725394,-6.543536780053886,-5.690751703537372,-6.435848363081199,-6.155040642447326,-6.3036814406002435,-6.205138561370862,-5.110904546048459,Novice,S63,algebra,stand
data/slide2/short2/Novice63_7A_sl2_stand.set,-9.391950932796544,-10.539736034919645,-9.700512474338721,-10.255763632094993,-9.472191333703751,-10.90347205203085,-9.472623907328401,-9.883836785823366,-9.763431852602169,-5.907490335751332,-6.580474311351809,-6.198234522897999,-5.338383502938488,-5.876786266961331,-6.598474557071732,-6.99418571621293,-5.768895601451172,-5.044096146845603,Novice,S63,algebra,stand
data/slide2/short2/Novice63_9A_sl2_sit.set,-9.517727488495352,-10.350433795031421,-9.752922915628913,-10.606673684471685,-9.587844851288095,-11.199575764595425,-9.08938740147508,-10.126557750337678,-8.72076031632518,-5.827268462240836,-6.018091736541278,-7.458215094208543,-5.555137017970124,-5.8315809950421365,-6.219179931092477,-5.865942424012074,-5.770394051787941,-4.467210674656119,Novice,S63,algebra,sit
